student_id,age,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,reaction_time_ms,addiction_score,stress_level,grades,gender_Male,gender_Other,gaming_genre_Fps,gaming_genre_Rpg,study_efficiency_index,sleep_deficit,digital_load
1,22,7.23,8.78,6.96,91.44,3.25,9.36,235.84,14.69,0,86,1,0,1,0,9.79498861047836,1.04,0.7724358974358976
2,19,0.07,8.72,7.63,63.63,1.02,3.21,328.71,2.47,1,98,1,0,0,0,11.238532110091745,0.3700000000000001,0.0218068535825545
3,23,1.73,9.56,4.4,83.26,3.46,5.56,313.61,4.73,2,91,0,0,0,0,9.518828451882843,3.6,0.3111510791366906
4,20,6.62,1.68,7.83,75.04,1.46,11.78,241.84,14.54,0,33,0,0,0,1,19.642857142857142,0.1699999999999999,0.5619694397283532
5,22,5.36,5.83,5.55,65.57,1.01,8.23,249.31,12.48,0,59,0,0,1,0,10.120068610634648,2.45,0.6512758201701093
6,18,7.16,6.84,8.03,68.11,3.74,10.9,242.75,18.75,0,58,1,0,0,1,8.47953216374269,0.0,0.6568807339449542
7,22,0.46,7.4,6.55,91.25,1.81,2.86,320.2,1.74,1,94,0,0,0,0,12.702702702702702,1.4500000000000002,0.1608391608391608
8,23,4.78,6.79,5.37,66.46,2.85,9.96,271.21,11.75,1,62,0,0,1,0,9.131075110456552,2.63,0.4799196787148594
9,20,4.55,7.93,8.76,72.5,1.0,9.48,272.39,11.04,1,81,0,0,1,0,10.21437578814628,0.0,0.4799578059071729
10,19,0.29,4.24,7.83,71.39,3.07,5.39,318.59,4.72,1,82,1,0,0,0,19.339622641509436,0.1699999999999999,0.0538033395176252
11,23,4.11,2.61,8.93,61.95,1.04,5.4,273.33,10.57,1,52,0,0,0,1,19.92337164750958,0.0,0.7611111111111111
12,23,4.88,2.84,5.82,78.49,0.83,8.31,268.46,9.32,1,42,0,0,0,1,14.788732394366198,2.18,0.5872442839951865
13,18,1.53,1.11,7.25,90.64,1.93,3.21,287.14,3.55,1,63,1,0,1,0,56.75675675675675,0.75,0.4766355140186916
14,21,2.19,4.15,7.06,60.89,3.95,6.56,307.02,8.78,1,73,0,0,0,0,17.59036144578313,0.9400000000000004,0.3338414634146341
15,20,5.12,1.83,7.44,64.5,0.88,7.68,263.06,10.85,0,37,1,0,1,0,20.21857923497268,0.5599999999999996,0.6666666666666667
16,17,3.75,3.89,4.19,88.81,0.59,8.62,266.54,12.72,1,57,1,0,0,0,14.652956298200513,3.81,0.4350348027842228
17,23,6.86,6.65,5.46,83.74,0.16,8.19,239.53,15.76,0,62,1,0,1,0,9.32330827067669,2.54,0.8376068376068377
18,21,2.74,9.05,8.55,88.61,2.08,6.31,300.31,10.78,1,100,0,0,0,0,11.049723756906076,0.0,0.4342313787638669
19,17,2.13,8.56,6.12,69.2,1.41,3.75,297.34,4.45,1,91,1,0,1,0,10.630841121495326,1.88,0.568
20,20,7.88,3.27,8.8,92.15,1.46,11.67,218.12,19.06,0,42,1,0,0,1,12.844036697247706,0.0,0.675235646958012
21,16,7.29,2.21,5.07,79.19,4.91,11.33,219.78,18.07,0,19,0,0,0,0,8.597285067873303,2.93,0.6434245366284201
22,21,0.23,2.74,8.99,84.41,0.97,3.54,341.89,4.27,1,76,1,0,1,0,27.73722627737226,0.0,0.0649717514124293
23,24,6.17,9.74,7.49,63.69,2.29,8.57,228.57,14.25,0,100,0,0,1,0,10.26694045174538,0.5099999999999998,0.7199533255542591
24,16,0.88,5.95,7.88,68.2,4.93,2.04,312.81,4.57,1,92,0,0,0,0,15.46218487394958,0.1200000000000001,0.4313725490196078
25,18,0.22,2.64,5.98,90.93,0.15,4.53,311.49,1.33,1,56,0,0,1,0,21.21212121212121,2.02,0.0485651214128035
26,22,2.19,8.57,8.54,68.96,3.48,7.54,304.14,6.94,1,100,0,0,0,0,11.668611435239209,0.0,0.2904509283819628
27,19,2.15,4.56,6.73,63.7,1.86,6.82,282.04,3.66,1,75,0,0,1,0,16.447368421052634,1.2699999999999996,0.3152492668621701
28,24,6.55,9.09,7.4,83.89,4.53,12.02,257.48,15.3,0,88,1,0,0,1,9.68096809680968,0.5999999999999996,0.5449251247920133
29,18,5.69,3.35,4.47,81.92,4.56,11.34,250.47,12.5,0,39,0,0,1,0,11.641791044776118,3.53,0.5017636684303352
30,20,7.85,4.54,7.16,84.32,1.94,11.1,223.6,17.99,0,45,1,0,0,0,9.911894273127754,0.8399999999999999,0.7072072072072072
31,18,5.69,5.54,8.4,84.73,1.11,10.18,248.59,15.6,0,70,0,0,1,0,12.63537906137184,0.0,0.5589390962671906
32,22,3.35,9.03,4.89,80.01,2.14,6.34,273.87,9.32,2,88,1,0,0,1,9.7452934662237,3.1100000000000003,0.5283911671924291
33,20,5.59,8.82,7.69,79.75,4.83,11.19,249.23,15.54,0,89,0,0,1,0,10.090702947845804,0.3099999999999996,0.4995531724754245
34,24,8.0,6.17,4.13,96.97,1.41,11.81,231.18,18.1,0,41,0,0,0,1,6.645056726094003,3.87,0.6773920406435224
35,22,5.68,3.0,8.63,81.36,4.91,10.44,234.62,13.46,0,43,0,0,1,0,14.333333333333334,0.0,0.5440613026819924
36,17,6.09,4.63,8.91,84.69,4.1,7.16,239.43,10.37,0,63,1,0,1,0,13.606911447084231,0.0,0.8505586592178771
37,19,7.51,9.78,5.77,70.68,1.34,11.39,244.83,13.11,2,72,1,0,0,1,7.361963190184049,2.2300000000000004,0.6593503072870939
38,24,0.91,6.47,4.54,94.84,3.96,5.62,308.18,1.16,1,83,0,0,1,0,12.828438948995364,3.46,0.1619217081850534
39,17,5.64,8.03,7.29,60.97,0.25,7.93,246.6,11.1,0,75,0,0,0,0,9.339975093399753,0.71,0.7112232030264817
40,24,6.81,5.05,4.15,82.29,2.74,7.88,225.53,15.98,0,30,1,0,0,0,5.9405940594059405,3.85,0.8642131979695431
41,20,7.64,5.79,6.41,75.35,1.79,12.36,216.62,15.18,0,39,0,1,0,1,6.735751295336788,1.59,0.6181229773462783
42,17,1.69,4.86,5.36,84.16,2.13,4.38,309.54,3.08,1,80,0,0,1,0,16.46090534979424,2.64,0.3858447488584475
43,19,4.03,7.33,6.37,74.41,2.36,7.17,263.41,8.69,1,87,1,0,0,1,11.869031377899043,1.63,0.5620641562064157
44,22,5.44,8.66,4.09,88.71,2.51,9.25,262.77,15.36,2,78,0,0,1,0,9.006928406466512,3.91,0.5881081081081081
45,23,1.98,5.57,4.26,60.81,3.28,3.53,286.43,4.66,1,70,0,0,0,0,12.567324955116696,3.74,0.5609065155807366
46,18,4.8,5.33,4.08,76.24,3.48,6.32,261.14,10.63,1,56,1,0,1,0,10.50656660412758,3.92,0.7594936708860759
47,16,2.06,4.06,7.1,93.25,4.88,7.86,294.59,7.84,1,74,1,0,1,0,18.22660098522168,0.9000000000000004,0.2620865139949109
48,19,2.67,2.59,6.8,70.01,3.81,5.36,280.42,9.47,1,57,0,0,1,0,22.00772200772201,1.2000000000000002,0.4981343283582089
49,17,3.53,9.45,5.17,62.11,3.44,5.81,278.41,8.37,2,87,0,0,0,0,9.206349206349207,2.83,0.6075731497418244
50,23,4.23,3.84,7.23,79.86,1.96,5.47,248.08,5.55,1,64,1,0,0,0,16.666666666666668,0.7699999999999996,0.7733089579524681
51,19,3.59,8.21,8.42,99.06,0.59,5.46,276.03,8.37,1,99,0,0,1,0,12.058465286236297,0.0,0.6575091575091575
52,17,3.95,7.44,5.39,62.57,0.29,7.1,277.05,12.36,2,67,0,0,0,0,9.00537634408602,2.6100000000000003,0.5563380281690141
53,21,2.39,8.12,8.16,62.8,2.39,5.1,282.97,7.42,1,94,0,0,1,0,11.576354679802956,0.0,0.4686274509803922
54,21,1.27,9.43,7.31,83.8,3.34,4.39,306.89,4.53,1,100,1,0,0,0,10.604453870625663,0.6900000000000004,0.2892938496583144
55,19,0.38,6.61,4.17,70.0,3.25,4.9,316.97,3.73,1,78,0,0,0,1,11.800302571860817,3.83,0.0775510204081632
56,21,1.57,9.08,5.88,76.41,4.76,5.78,303.1,1.57,2,100,1,0,0,0,11.013215859030836,2.12,0.2716262975778546
57,17,4.66,2.51,6.54,93.22,1.91,8.13,250.63,7.1,1,58,1,0,1,0,23.10756972111554,1.46,0.5731857318573186
58,17,6.29,6.64,7.66,67.95,3.14,11.36,245.47,16.9,0,64,1,0,0,1,9.63855421686747,0.3399999999999998,0.5536971830985916
59,19,1.35,7.95,5.44,88.77,4.44,6.64,286.58,7.92,2,85,0,0,0,1,10.69182389937107,2.56,0.2033132530120482
60,23,0.87,3.44,8.91,80.18,2.02,4.82,303.27,2.46,1,86,0,0,1,0,25.0,0.0,0.1804979253112033
61,22,5.99,7.67,7.42,96.2,2.39,7.58,248.08,13.16,0,97,1,0,1,0,12.646675358539763,0.5800000000000001,0.7902374670184696
62,24,2.44,8.01,5.86,98.92,4.61,5.47,292.8,7.64,2,89,0,0,0,0,11.11111111111111,2.14,0.4460694698354662
